" Daily soil water balance output for Cherries in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Cherries in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2015.0","10.0","16.0","289.0","19.79","0.08","0.97","0.0","3.93","0.97","3.8","0.0","0.0","0.0","0.0","27.92","105.25","421.01","210.51","393.1","315.76","0.0","","","","","","",""
"2015.0","10.0","17.0","290.0","19.79","0.08","0.96","0.0","2.96","0.96","2.83","2.76","2.76","0.0","0.0","27.99","105.25","421.01","210.51","393.03","315.76","0.0","","","","","","",""
"2015.0","10.0","18.0","291.0","19.79","0.08","0.95","0.0","2.48","0.95","2.35","0.11","0.11","0.0","0.0","30.22","105.25","421.01","210.51","390.79","315.76","0.0","","","","","","",""
"2015.0","10.0","19.0","292.0","19.79","0.08","0.94","0.0","2.63","0.94","2.46","0.0","0.0","0.0","0.0","32.68","105.25","421.01","210.51","388.33","315.76","0.0","","","","","","",""
"2015.0","10.0","20.0","293.0","19.79","0.08","0.92","0.0","4.68","0.92","4.33","0.0","0.0","0.0","0.0","37.01","105.25","421.01","210.51","384.0","315.76","0.0","","","","","","",""
"2015.0","10.0","21.0","294.0","19.79","0.08","0.91","0.0","3.66","0.91","3.35","0.0","0.0","0.0","0.0","40.36","105.25","421.01","210.51","380.65","315.76","0.0","","","","","","",""
"2015.0","10.0","22.0","295.0","19.79","0.08","0.9","0.0","3.17","0.9","2.87","0.0","0.0","0.0","0.0","43.23","105.25","421.01","210.51","377.79","315.76","0.0","","","","","","",""
"2015.0","10.0","23.0","296.0","19.79","0.08","0.89","0.0","2.61","0.89","2.33","0.0","0.0","0.0","0.0","45.56","105.25","421.01","210.51","375.46","315.76","0.0","","","","","","",""
"2015.0","10.0","24.0","297.0","19.79","0.08","0.88","0.0","2.57","0.88","2.27","0.0","0.0","0.0","0.0","47.83","105.25","421.01","210.51","373.19","315.76","0.0","","","","","","",""
"2015.0","10.0","25.0","298.0","19.79","0.08","0.87","0.0","3.42","0.87","2.99","0.0","0.0","0.0","0.0","50.81","105.25","421.01","210.51","370.2","315.76","0.0","","","","","","",""
"2015.0","10.0","26.0","299.0","19.79","0.08","0.86","0.0","2.51","0.86","2.16","0.0","0.0","0.0","0.0","52.98","105.25","421.01","210.51","368.03","315.76","0.0","","","","","","",""
"2015.0","10.0","27.0","300.0","19.79","0.08","0.85","0.0","2.19","0.85","1.87","0.0","0.0","0.0","0.0","54.84","105.25","421.01","210.51","366.17","315.76","0.0","","","","","","",""
"2015.0","10.0","28.0","301.0","19.79","0.08","0.84","0.0","2.2","0.84","1.85","0.0","0.0","0.0","0.0","56.7","105.25","421.01","210.51","364.32","315.76","0.0","","","","","","",""
"2015.0","10.0","29.0","302.0","19.79","0.08","0.83","0.0","4.44","0.83","3.69","0.0","0.0","0.0","0.0","60.39","105.25","421.01","210.51","360.63","315.76","0.0","","","","","","",""
"2015.0","10.0","30.0","303.0","19.79","0.08","0.82","0.0","3.82","0.82","3.14","0.0","0.0","0.0","0.0","63.52","105.25","421.01","210.51","357.49","315.76","0.0","","","","","","",""
"2015.0","10.0","31.0","304.0","19.79","0.08","0.81","0.0","3.38","0.81","2.74","0.0","0.0","0.0","0.0","66.26","105.25","421.01","210.51","354.75","315.76","0.0","","","","","","",""
"2015.0","11.0","1.0","305.0","19.79","0.08","0.8","0.0","1.79","0.8","1.43","0.0","0.0","0.0","0.0","67.69","105.25","421.01","210.51","353.32","315.76","0.0","","","","","","",""
"2015.0","11.0","2.0","306.0","19.79","1.17","0.0","0.0","1.2","1.17","1.41","9.97","9.97","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2015.0","11.0","3.0","307.0","19.79","1.13","0.0","0.0","2.18","1.13","2.47","7.72","7.72","0.0","0.0","15.0","20.25","421.01","210.51","406.01","400.76","0.0","","","","","","",""
"2015.0","11.0","4.0","308.0","19.79","1.11","0.0","0.0","3.08","1.11","3.43","0.0","0.0","0.0","0.0","18.43","20.25","421.01","210.51","402.58","400.76","0.0","","","","","","",""
"2015.0","11.0","5.0","309.0","19.79","1.05","0.0","0.0","1.68","1.05","1.76","0.0","0.0","0.0","0.0","20.19","20.25","421.01","210.51","400.82","400.76","0.0","","","","","","",""
"2015.0","11.0","6.0","310.0","19.79","0.93","0.0","0.0","1.86","0.93","1.73","0.0","0.0","0.0","0.0","21.93","20.25","421.01","210.51","399.09","400.76","0.0","","","","","","",""
"2015.0","11.0","7.0","311.0","19.79","0.86","0.0","0.0","1.66","0.86","1.42","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2015.0","11.0","8.0","312.0","19.79","0.82","0.0","0.0","1.14","0.82","0.93","0.0","0.0","0.0","0.0","21.18","20.25","421.01","210.51","399.83","400.76","0.0","","","","","","",""
"2015.0","11.0","9.0","313.0","19.79","1.18","0.0","0.0","0.97","1.18","1.15","4.43","4.43","0.0","0.0","16.75","20.25","421.01","210.51","404.26","400.76","0.0","","","","","","",""
"2015.0","11.0","10.0","314.0","19.79","1.17","0.0","0.0","1.29","1.17","1.51","10.75","10.75","0.0","0.0","7.51","20.25","421.01","210.51","413.51","400.76","0.0","","","","","","",""
"2015.0","11.0","11.0","315.0","19.79","1.17","0.0","0.0","1.21","1.17","1.42","0.0","0.0","0.0","0.0","8.92","20.25","421.01","210.51","412.09","400.76","0.0","","","","","","",""
"2015.0","11.0","12.0","316.0","19.79","1.17","0.0","0.0","1.37","1.17","1.6","0.0","0.0","0.0","0.0","10.52","20.25","421.01","210.51","410.49","400.76","0.0","","","","","","",""
"2015.0","11.0","13.0","317.0","19.79","1.17","0.0","0.0","1.32","1.17","1.54","0.0","0.0","0.0","0.0","12.07","20.25","421.01","210.51","408.95","400.76","0.0","","","","","","",""
"2015.0","11.0","14.0","318.0","19.79","1.1","0.0","0.0","1.34","1.1","1.47","0.0","0.0","0.0","0.0","13.54","20.25","421.01","210.51","407.47","400.76","0.0","","","","","","",""
"2015.0","11.0","15.0","319.0","19.79","1.15","0.0","0.0","1.71","1.15","1.97","1.97","1.97","0.0","0.0","13.54","20.25","421.01","210.51","407.48","400.76","0.0","","","","","","",""
"2015.0","11.0","16.0","320.0","19.79","1.12","0.0","0.0","2.6","1.12","2.9","3.43","3.43","0.0","0.0","13.01","20.25","421.01","210.51","408.0","400.76","0.0","","","","","","",""
"2015.0","11.0","17.0","321.0","19.79","1.14","0.0","0.0","1.43","1.14","1.63","0.0","0.0","0.0","0.0","14.64","20.25","421.01","210.51","406.37","400.76","0.0","","","","","","",""
"2015.0","11.0","18.0","322.0","19.79","1.15","0.0","0.0","1.3","1.15","1.49","0.0","0.0","0.0","0.0","16.13","20.25","421.01","210.51","404.88","400.76","0.0","","","","","","",""
"2015.0","11.0","19.0","323.0","19.79","1.08","0.0","0.0","1.31","1.08","1.42","0.0","0.0","0.0","0.0","17.55","20.25","421.01","210.51","403.46","400.76","0.0","","","","","","",""
"2015.0","11.0","20.0","324.0","19.79","0.97","0.0","0.0","1.65","0.97","1.6","0.0","0.0","0.0","0.0","19.15","20.25","421.01","210.51","401.86","400.76","0.0","","","","","","",""
"2015.0","11.0","21.0","325.0","19.79","0.89","0.0","0.0","1.48","0.89","1.32","0.0","0.0","0.0","0.0","20.48","20.25","421.01","210.51","400.54","400.76","0.0","","","","","","",""
"2015.0","11.0","22.0","326.0","19.79","0.84","0.0","0.0","1.31","0.84","1.1","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2015.0","11.0","23.0","327.0","19.79","0.79","0.0","0.0","1.51","0.79","1.19","0.0","0.0","0.0","0.0","21.44","20.25","421.01","210.51","399.57","400.76","0.0","","","","","","",""
"2015.0","11.0","24.0","328.0","19.79","0.75","0.0","0.0","1.36","0.75","1.02","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2015.0","11.0","25.0","329.0","19.79","0.72","0.0","0.0","1.02","0.72","0.74","1.19","1.19","0.0","0.0","19.8","20.25","421.01","210.51","401.22","400.76","0.0","","","","","","",""
"2015.0","11.0","26.0","330.0","19.79","0.68","0.0","0.0","1.78","0.68","1.22","0.0","0.0","0.0","0.0","21.02","20.25","421.01","210.51","400.0","400.76","0.0","","","","","","",""
"2015.0","11.0","27.0","331.0","19.79","0.64","0.0","0.0","2.51","0.64","1.6","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2015.0","11.0","28.0","332.0","19.79","0.61","0.0","0.0","1.67","0.61","1.02","0.0","0.0","0.0","0.0","21.27","20.25","421.01","210.51","399.74","400.76","0.0","","","","","","",""
"2015.0","11.0","29.0","333.0","19.79","0.59","0.0","0.0","1.37","0.59","0.81","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2015.0","11.0","30.0","334.0","19.79","0.58","0.0","0.0","1.02","0.58","0.59","0.0","0.0","0.0","0.0","20.84","20.25","421.01","210.51","400.17","400.76","0.0","","","","","","",""
"2015.0","12.0","1.0","335.0","19.79","0.57","0.0","0.0","1.17","0.57","0.66","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2015.0","12.0","2.0","336.0","19.79","0.55","0.0","0.0","1.11","0.55","0.61","0.0","0.0","0.0","0.0","20.86","20.25","421.01","210.51","400.15","400.76","0.0","","","","","","",""
"2015.0","12.0","3.0","337.0","19.79","0.54","0.0","0.0","1.12","0.54","0.61","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2015.0","12.0","4.0","338.0","19.79","1.18","0.0","0.0","1.01","1.18","1.19","7.54","7.54","0.0","0.0","13.9","20.25","421.01","210.51","407.11","400.76","0.0","","","","","","",""
"2015.0","12.0","5.0","339.0","19.79","1.18","0.0","0.0","0.76","1.18","0.9","0.0","0.0","0.0","0.0","14.8","20.25","421.01","210.51","406.21","400.76","0.0","","","","","","",""
"2015.0","12.0","6.0","340.0","19.79","1.18","0.0","0.0","1.18","1.18","1.39","0.01","0.01","0.0","0.0","16.18","20.25","421.01","210.51","404.83","400.76","0.0","","","","","","",""
"2015.0","12.0","7.0","341.0","19.79","1.18","0.0","0.0","0.9","1.18","1.06","0.04","0.04","0.0","0.0","17.21","20.25","421.01","210.51","403.81","400.76","0.0","","","","","","",""
"2015.0","12.0","8.0","342.0","19.79","1.18","0.0","0.0","0.55","1.18","0.65","0.0","0.0","0.0","0.0","17.86","20.25","421.01","210.51","403.15","400.76","0.0","","","","","","",""
"2015.0","12.0","9.0","343.0","19.79","1.18","0.0","0.0","0.9","1.18","1.07","0.0","0.0","0.0","0.0","18.93","20.25","421.01","210.51","402.09","400.76","0.0","","","","","","",""
"2015.0","12.0","10.0","344.0","19.79","1.17","0.0","0.0","1.37","1.17","1.6","1.73","1.73","0.0","0.0","18.79","20.25","421.01","210.51","402.22","400.76","0.0","","","","","","",""
"2015.0","12.0","11.0","345.0","19.79","1.18","0.0","0.0","1.05","1.18","1.24","3.37","3.37","0.0","0.0","16.66","20.25","421.01","210.51","404.35","400.76","0.0","","","","","","",""
"2015.0","12.0","12.0","346.0","19.79","1.18","0.0","0.0","0.81","1.18","0.96","0.03","0.03","0.0","0.0","17.59","20.25","421.01","210.51","403.43","400.76","0.0","","","","","","",""
"2015.0","12.0","13.0","347.0","19.79","1.18","0.0","0.0","1.24","1.18","1.46","0.0","0.0","0.0","0.0","19.05","20.25","421.01","210.51","401.96","400.76","0.0","","","","","","",""
"2015.0","12.0","14.0","348.0","19.79","1.16","0.0","0.0","1.53","1.16","1.77","10.75","10.75","0.0","0.0","10.07","20.25","421.01","210.51","410.94","400.76","0.0","","","","","","",""
"2015.0","12.0","15.0","349.0","19.79","1.15","0.0","0.0","2.03","1.15","2.33","0.0","0.0","0.0","0.0","12.4","20.25","421.01","210.51","408.61","400.76","0.0","","","","","","",""
"2015.0","12.0","16.0","350.0","19.79","1.16","0.0","0.0","0.85","1.16","0.99","0.0","0.0","0.0","0.0","13.39","20.25","421.01","210.51","407.62","400.76","0.0","","","","","","",""
"2015.0","12.0","17.0","351.0","19.79","1.17","0.0","0.0","0.95","1.17","1.11","0.0","0.0","0.0","0.0","14.5","20.25","421.01","210.51","406.51","400.76","0.0","","","","","","",""
"2015.0","12.0","18.0","352.0","19.79","1.1","0.0","0.0","1.16","1.1","1.28","0.0","0.0","0.0","0.0","15.78","20.25","421.01","210.51","405.24","400.76","0.0","","","","","","",""
"2015.0","12.0","19.0","353.0","19.79","1.19","0.0","0.0","0.67","1.19","0.8","9.68","9.68","0.0","0.0","6.89","20.25","421.01","210.51","414.12","400.76","0.0","","","","","","",""
"2015.0","12.0","20.0","354.0","19.79","1.2","0.0","0.0","0.56","1.2","0.67","0.44","0.44","0.0","0.0","7.12","20.25","421.01","210.51","413.89","400.76","0.0","","","","","","",""
"2015.0","12.0","21.0","355.0","19.79","1.2","0.0","0.0","0.58","1.2","0.69","5.03","5.03","0.0","0.0","2.79","20.25","421.01","210.51","418.23","400.76","0.0","","","","","","",""
"2015.0","12.0","22.0","356.0","19.79","1.18","0.0","0.0","1.08","1.18","1.27","4.97","4.06","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2015.0","12.0","23.0","357.0","19.79","1.17","0.0","0.0","1.27","1.17","1.49","0.0","0.0","0.0","0.0","1.49","20.25","421.01","210.51","419.52","400.76","0.0","","","","","","",""
"2015.0","12.0","24.0","358.0","19.79","1.18","0.0","0.0","1.0","1.18","1.18","0.1","0.1","0.0","0.0","2.57","20.25","421.01","210.51","418.45","400.76","0.0","","","","","","",""
"2015.0","12.0","25.0","359.0","19.79","1.18","0.0","0.0","0.85","1.18","1.0","1.02","1.02","0.0","0.0","2.55","20.25","421.01","210.51","418.47","400.76","0.0","","","","","","",""
"2015.0","12.0","26.0","360.0","19.79","1.17","0.0","0.0","1.56","1.17","1.83","0.0","0.0","0.0","0.0","4.38","20.25","421.01","210.51","416.64","400.76","0.0","","","","","","",""
"2015.0","12.0","27.0","361.0","19.79","1.12","0.0","0.0","0.58","1.12","0.65","0.0","0.0","0.0","0.0","5.03","20.25","421.01","210.51","415.99","400.76","0.0","","","","","","",""
"2015.0","12.0","28.0","362.0","19.79","1.06","0.0","0.0","0.73","1.06","0.78","0.59","0.59","0.0","0.0","5.21","20.25","421.01","210.51","415.8","400.76","0.0","","","","","","",""
"2015.0","12.0","29.0","363.0","19.79","1.0","0.0","0.0","0.94","1.0","0.94","0.0","0.0","0.0","0.0","6.15","20.25","421.01","210.51","414.86","400.76","0.0","","","","","","",""
"2015.0","12.0","30.0","364.0","19.79","0.95","0.0","0.0","0.78","0.95","0.74","0.0","0.0","0.0","0.0","6.89","20.25","421.01","210.51","414.12","400.76","0.0","","","","","","",""
"2015.0","12.0","31.0","365.0","19.79","0.9","0.0","0.0","1.09","0.9","0.98","0.0","0.0","0.0","0.0","7.87","20.25","421.01","210.51","413.14","400.76","0.0","","","","","","",""
"2016.0","1.0","1.0","1.0","19.79","0.84","0.0","0.0","1.45","0.84","1.22","0.0","0.0","0.0","0.0","9.09","20.25","421.01","210.51","411.92","400.76","0.0","","","","","","",""
"2016.0","1.0","2.0","2.0","19.79","0.8","0.0","0.0","1.22","0.8","0.97","0.0","0.0","0.0","0.0","10.06","20.25","421.01","210.51","410.95","400.76","0.0","","","","","","",""
"2016.0","1.0","3.0","3.0","19.79","0.76","0.0","0.0","1.21","0.76","0.92","0.0","0.0","0.0","0.0","10.98","20.25","421.01","210.51","410.03","400.76","0.0","","","","","","",""
"2016.0","1.0","4.0","4.0","19.79","0.74","0.0","0.0","0.87","0.74","0.64","0.17","0.17","0.0","0.0","11.45","20.25","421.01","210.51","409.56","400.76","0.0","","","","","","",""
"2016.0","1.0","5.0","5.0","19.79","1.19","0.0","0.0","0.85","1.19","1.01","18.14","12.46","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","6.0","6.0","19.79","1.19","0.0","0.0","0.82","1.19","0.97","14.82","0.97","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","7.0","7.0","19.79","1.2","0.0","0.0","0.59","1.2","0.71","15.26","0.71","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","8.0","8.0","19.79","1.2","0.0","0.0","0.63","1.2","0.75","0.09","0.09","0.0","0.0","0.66","20.25","421.01","210.51","420.35","400.76","0.0","","","","","","",""
"2016.0","1.0","9.0","9.0","19.79","1.19","0.0","0.0","0.8","1.19","0.95","2.34","1.61","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","10.0","10.0","19.79","1.18","0.0","0.0","0.91","1.18","1.08","1.28","1.08","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","11.0","11.0","19.79","1.18","0.0","0.0","0.98","1.18","1.16","0.0","0.0","0.0","0.0","1.16","20.25","421.01","210.51","419.86","400.76","0.0","","","","","","",""
"2016.0","1.0","12.0","12.0","19.79","1.18","0.0","0.0","0.99","1.18","1.17","0.0","0.0","0.0","0.0","2.33","20.25","421.01","210.51","418.69","400.76","0.0","","","","","","",""
"2016.0","1.0","13.0","13.0","19.79","1.17","0.0","0.0","1.36","1.17","1.59","5.0","3.91","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","14.0","14.0","19.79","1.19","0.0","0.0","0.66","1.19","0.79","2.42","0.79","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","15.0","15.0","19.79","1.19","0.0","0.0","0.78","1.19","0.93","2.88","0.93","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","16.0","16.0","19.79","1.19","0.0","0.0","0.8","1.19","0.95","6.95","0.95","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","17.0","17.0","19.79","1.19","0.0","0.0","0.82","1.19","0.97","1.13","0.97","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","18.0","18.0","19.79","1.17","0.0","0.0","1.18","1.17","1.38","28.31","1.38","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","19.0","19.0","19.79","1.17","0.0","0.0","1.31","1.17","1.53","4.94","1.53","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","20.0","20.0","19.79","1.18","0.0","0.0","1.02","1.18","1.2","18.57","1.2","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","21.0","21.0","19.79","1.18","0.0","0.0","1.12","1.18","1.32","0.0","0.0","0.0","0.0","1.32","20.25","421.01","210.51","419.7","400.76","0.0","","","","","","",""
"2016.0","1.0","22.0","22.0","19.79","1.18","0.0","0.0","1.16","1.18","1.36","1.05","1.05","0.0","0.0","1.63","20.25","421.01","210.51","419.38","400.76","0.0","","","","","","",""
"2016.0","1.0","23.0","23.0","19.79","1.16","0.0","0.0","1.42","1.16","1.65","10.72","3.28","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","24.0","24.0","19.79","1.18","0.0","0.0","1.08","1.18","1.27","1.54","1.27","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","1.0","25.0","25.0","19.79","1.17","0.0","0.0","1.21","1.17","1.42","0.4","0.4","0.0","0.0","1.02","20.25","421.01","210.51","419.99","400.76","0.0","","","","","","",""
"2016.0","1.0","26.0","26.0","19.79","1.18","0.0","0.0","1.01","1.18","1.19","0.0","0.0","0.0","0.0","2.21","20.25","421.01","210.51","418.81","400.76","0.0","","","","","","",""
"2016.0","1.0","27.0","27.0","19.79","1.17","0.0","0.0","1.4","1.17","1.64","0.0","0.0","0.0","0.0","3.85","20.25","421.01","210.51","417.16","400.76","0.0","","","","","","",""
"2016.0","1.0","28.0","28.0","19.79","1.18","0.0","0.0","0.89","1.18","1.05","0.0","0.0","0.0","0.0","4.9","20.25","421.01","210.51","416.12","400.76","0.0","","","","","","",""
"2016.0","1.0","29.0","29.0","19.79","1.1","0.0","0.0","1.03","1.1","1.13","0.29","0.29","0.0","0.0","5.74","20.25","421.01","210.51","415.28","400.76","0.0","","","","","","",""
"2016.0","1.0","30.0","30.0","19.79","1.16","0.0","0.0","1.51","1.16","1.75","5.98","5.98","0.0","0.0","1.51","20.25","421.01","210.51","419.51","400.76","0.0","","","","","","",""
"2016.0","1.0","31.0","31.0","19.79","1.14","0.0","0.0","2.42","1.14","2.76","0.0","0.0","0.0","0.0","4.27","20.25","421.01","210.51","416.75","400.76","0.0","","","","","","",""
"2016.0","2.0","1.0","32.0","19.79","1.08","0.0","0.0","2.58","1.08","2.8","0.0","0.0","0.0","0.0","7.07","20.25","421.01","210.51","413.95","400.76","0.0","","","","","","",""
"2016.0","2.0","2.0","33.0","19.79","1.01","0.0","0.0","1.06","1.01","1.07","0.0","0.0","0.0","0.0","8.14","20.25","421.01","210.51","412.87","400.76","0.0","","","","","","",""
"2016.0","2.0","3.0","34.0","19.79","0.95","0.0","0.0","1.04","0.95","0.99","0.84","0.84","0.0","0.0","8.29","20.25","421.01","210.51","412.73","400.76","0.0","","","","","","",""
"2016.0","2.0","4.0","35.0","19.79","0.88","0.0","0.0","1.53","0.88","1.34","0.02","0.02","0.0","0.0","9.61","20.25","421.01","210.51","411.41","400.76","0.0","","","","","","",""
"2016.0","2.0","5.0","36.0","19.79","0.82","0.0","0.0","1.39","0.82","1.14","0.0","0.0","0.0","0.0","10.75","20.25","421.01","210.51","410.26","400.76","0.0","","","","","","",""
"2016.0","2.0","6.0","37.0","19.79","0.77","0.0","0.0","1.63","0.77","1.26","0.0","0.0","0.0","0.0","12.01","20.25","421.01","210.51","409.01","400.76","0.0","","","","","","",""
"2016.0","2.0","7.0","38.0","19.79","0.72","0.0","0.0","1.96","0.72","1.41","0.0","0.0","0.0","0.0","13.41","20.25","421.01","210.51","407.6","400.76","0.0","","","","","","",""
"2016.0","2.0","8.0","39.0","19.79","0.67","0.0","0.0","2.08","0.67","1.4","0.0","0.0","0.0","0.0","14.81","20.25","421.01","210.51","406.2","400.76","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","19.79","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","16.06","20.25","421.01","210.51","404.95","400.76","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","19.79","0.61","0.0","0.0","1.91","0.61","1.16","0.0","0.0","0.0","0.0","17.22","20.25","421.01","210.51","403.79","400.76","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","19.79","0.58","0.0","0.0","1.76","0.58","1.03","0.0","0.0","0.0","0.0","18.25","20.25","421.01","210.51","402.76","400.76","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","19.79","0.56","0.0","0.0","1.83","0.56","1.03","0.0","0.0","0.0","0.0","19.28","20.25","421.01","210.51","401.74","400.76","0.0","","","","","","",""
