" Daily soil water balance output for Almonds in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Almonds in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","3.0","0.08","0.0","0.0","1.91","0.08","0.15","0.0","0.0","0.0","0.0","8.06","28.05","569.98","284.99","561.92","541.93","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","3.0","0.08","0.0","0.0","1.94","0.08","0.16","0.0","0.0","0.0","0.0","8.22","28.05","569.98","284.99","561.76","541.93","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","3.0","0.08","0.0","0.0","1.87","0.08","0.15","0.0","0.0","0.0","0.0","8.37","28.05","569.98","284.99","561.61","541.93","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","3.0","0.08","0.0","0.0","1.83","0.08","0.15","0.0","0.0","0.0","0.0","8.52","28.05","569.98","284.99","561.46","541.93","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","3.0","0.08","0.0","0.0","1.84","0.08","0.15","0.0","0.0","0.0","0.0","8.66","28.05","569.98","284.99","561.31","541.93","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","3.0","0.08","0.0","0.0","1.55","0.08","0.12","0.0","0.0","0.0","0.0","8.79","28.05","569.98","284.99","561.19","541.93","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","3.0","0.08","0.0","0.0","1.54","0.08","0.12","0.0","0.0","0.0","0.0","8.91","28.05","569.98","284.99","561.06","541.93","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","3.0","1.18","0.0","0.0","1.07","1.18","1.26","5.34","5.34","0.0","0.0","4.83","28.05","569.98","284.99","565.14","541.93","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","3.0","1.17","0.0","0.0","1.4","1.17","1.64","0.95","0.95","0.0","0.0","5.52","28.05","569.98","284.99","564.45","541.93","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","3.0","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","7.09","28.05","569.98","284.99","562.89","541.93","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","3.0","1.16","0.0","0.0","1.94","1.16","2.26","0.07","0.07","0.0","0.0","9.27","28.05","569.98","284.99","560.7","541.93","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","3.0","1.02","0.0","0.0","1.79","1.02","1.83","0.0","0.0","0.0","0.0","11.1","28.05","569.98","284.99","558.88","541.93","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","3.0","0.94","0.0","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","12.35","28.05","569.98","284.99","557.63","541.93","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","3.0","0.89","0.0","0.0","1.09","0.89","0.97","0.59","0.59","0.0","0.0","12.73","28.05","569.98","284.99","557.25","541.93","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","3.0","1.19","0.0","0.0","0.63","1.19","0.75","2.88","2.88","0.0","0.0","10.6","28.05","569.98","284.99","559.38","541.93","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","3.0","1.18","0.0","0.0","0.9","1.18","1.07","4.27","4.27","0.0","0.0","7.4","28.05","569.98","284.99","562.58","541.93","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","3.0","1.18","0.0","0.0","1.25","1.18","1.47","0.9","0.9","0.0","0.0","7.97","28.05","569.98","284.99","562.01","541.93","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","3.0","1.16","0.0","0.0","1.56","1.16","1.81","3.21","3.21","0.0","0.0","6.56","28.05","569.98","284.99","563.41","541.93","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","3.0","1.16","0.0","0.0","1.39","1.16","1.61","0.0","0.0","0.0","0.0","8.18","28.05","569.98","284.99","561.8","541.93","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","3.0","1.16","0.0","0.0","1.25","1.16","1.46","0.0","0.0","0.0","0.0","9.63","28.05","569.98","284.99","560.34","541.93","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","3.0","1.17","0.0","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","11.1","28.05","569.98","284.99","558.88","541.93","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","3.0","1.09","0.0","0.0","1.19","1.09","1.3","0.0","0.0","0.0","0.0","12.4","28.05","569.98","284.99","557.58","541.93","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","3.0","1.01","0.0","0.0","1.14","1.01","1.15","0.0","0.0","0.0","0.0","13.54","28.05","569.98","284.99","556.43","541.93","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","3.0","0.96","0.0","0.0","0.81","0.96","0.78","0.48","0.48","0.0","0.0","13.84","28.05","569.98","284.99","556.13","541.93","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","3.0","1.19","0.0","0.0","0.66","1.19","0.79","3.64","3.64","0.0","0.0","10.99","28.05","569.98","284.99","558.99","541.93","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","3.0","1.18","0.0","0.0","0.96","1.18","1.13","10.55","10.55","0.0","0.0","1.57","28.05","569.98","284.99","568.4","541.93","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","3.0","1.19","0.0","0.0","0.64","1.19","0.76","10.14","2.34","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","3.0","1.17","0.0","0.0","1.15","1.17","1.35","32.71","1.35","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","3.0","1.18","0.0","0.0","1.1","1.18","1.29","6.73","1.29","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","3.0","1.18","0.0","0.0","0.9","1.18","1.06","0.56","0.56","0.0","0.0","0.5","28.05","569.98","284.99","569.47","541.93","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","3.0","1.18","0.0","0.0","1.08","1.18","1.27","3.46","1.77","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","3.0","1.18","0.0","0.0","0.73","1.18","0.86","0.14","0.14","0.0","0.0","0.72","28.05","569.98","284.99","569.25","541.93","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","3.0","1.18","0.0","0.0","0.84","1.18","1.0","0.0","0.0","0.0","0.0","1.72","28.05","569.98","284.99","568.26","541.93","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","3.0","1.19","0.0","0.0","0.67","1.19","0.8","0.0","0.0","0.0","0.0","2.51","28.05","569.98","284.99","567.46","541.93","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","3.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.59","28.05","569.98","284.99","566.38","541.93","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","3.0","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","5.11","28.05","569.98","284.99","564.87","541.93","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","3.0","1.2","0.0","0.0","0.62","1.2","0.74","67.69","5.85","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","3.0","1.19","0.0","0.0","0.72","1.19","0.86","1.17","0.86","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","3.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","28.05","569.98","284.99","569.05","541.93","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","3.0","1.18","0.0","0.0","0.98","1.18","1.16","12.1","2.09","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","3.0","1.17","0.0","0.0","1.22","1.17","1.43","11.08","1.43","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","3.0","1.18","0.0","0.0","0.95","1.18","1.12","11.26","1.12","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","3.0","1.18","0.0","0.0","0.97","1.18","1.15","3.99","1.15","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","3.0","1.18","0.0","0.0","0.84","1.18","0.99","0.0","0.0","0.0","0.0","0.99","28.05","569.98","284.99","568.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","3.0","1.19","0.0","0.0","0.68","1.19","0.81","9.13","1.81","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","3.0","1.19","0.0","0.0","0.99","1.19","1.17","0.01","0.01","0.0","0.0","1.16","28.05","569.98","284.99","568.81","541.93","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","3.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.09","28.05","569.98","284.99","567.89","541.93","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","3.0","1.19","0.0","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.98","28.05","569.98","284.99","566.99","541.93","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","3.0","1.19","0.0","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","4.12","28.05","569.98","284.99","565.85","541.93","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","3.0","1.14","0.0","0.0","1.94","1.14","2.22","0.81","0.81","0.0","0.0","5.53","28.05","569.98","284.99","564.45","541.93","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","3.0","1.01","0.0","0.0","1.7","1.01","1.72","0.0","0.0","0.0","0.0","7.24","28.05","569.98","284.99","562.73","541.93","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","3.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","7.98","28.05","569.98","284.99","562.0","541.93","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","3.0","0.93","0.0","0.0","0.75","0.93","0.69","0.0","0.0","0.0","0.0","8.67","28.05","569.98","284.99","561.3","541.93","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","3.0","0.9","0.0","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.17","28.05","569.98","284.99","560.81","541.93","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","3.0","0.8","0.0","0.0","2.45","0.8","1.97","0.0","0.0","0.0","0.0","11.13","28.05","569.98","284.99","558.84","541.93","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","3.0","0.73","0.0","0.0","2.6","0.73","1.89","0.0","0.0","0.0","0.0","13.03","28.05","569.98","284.99","556.95","541.93","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","3.0","0.71","0.0","0.0","0.96","0.71","0.68","0.0","0.0","0.0","0.0","13.71","28.05","569.98","284.99","556.27","541.93","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","3.0","0.69","0.0","0.0","0.89","0.69","0.61","0.0","0.0","0.0","0.0","14.32","28.05","569.98","284.99","555.66","541.93","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","3.0","0.67","0.0","0.0","0.88","0.67","0.59","0.0","0.0","0.0","0.0","14.91","28.05","569.98","284.99","555.07","541.93","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","3.0","0.65","0.0","0.0","0.99","0.65","0.65","0.0","0.0","0.0","0.0","15.55","28.05","569.98","284.99","554.42","541.93","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","3.0","0.64","0.0","0.0","0.96","0.64","0.61","0.0","0.0","0.0","0.0","16.17","28.05","569.98","284.99","553.81","541.93","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","3.0","0.62","0.0","0.0","1.23","0.62","0.76","0.0","0.0","0.0","0.0","16.92","28.05","569.98","284.99","553.05","541.93","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","3.0","0.6","0.0","0.0","1.21","0.6","0.73","0.0","0.0","0.0","0.0","17.65","28.05","569.98","284.99","552.33","541.93","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","3.0","0.59","0.0","0.0","1.01","0.59","0.59","0.0","0.0","0.0","0.0","18.24","28.05","569.98","284.99","551.73","541.93","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","3.0","0.58","0.0","0.0","0.89","0.58","0.51","0.0","0.0","0.0","0.0","18.76","28.05","569.98","284.99","551.22","541.93","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","3.0","0.56","0.0","0.0","1.01","0.56","0.57","0.0","0.0","0.0","0.0","19.33","28.05","569.98","284.99","550.65","541.93","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","3.0","0.56","0.0","0.0","0.85","0.56","0.47","0.0","0.0","0.0","0.0","19.8","28.05","569.98","284.99","550.18","541.93","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","3.0","0.54","0.0","0.0","0.99","0.54","0.54","0.0","0.0","0.0","0.0","20.34","28.05","569.98","284.99","549.64","541.93","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","3.0","0.53","0.0","0.0","1.06","0.53","0.57","0.0","0.0","0.0","0.0","20.9","28.05","569.98","284.99","549.07","541.93","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","3.0","0.53","0.0","0.0","0.61","0.53","0.32","0.0","0.0","0.0","0.0","21.23","28.05","569.98","284.99","548.75","541.93","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","3.0","0.52","0.0","0.0","0.65","0.52","0.34","0.0","0.0","0.0","0.0","21.57","28.05","569.98","284.99","548.41","541.93","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","3.0","0.52","0.0","0.0","0.57","0.52","0.3","0.0","0.0","0.0","0.0","21.86","28.05","569.98","284.99","548.12","541.93","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","3.0","0.51","0.0","0.0","0.51","0.51","0.26","0.0","0.0","0.0","0.0","22.12","28.05","569.98","284.99","547.85","541.93","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","3.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.43","28.05","569.98","284.99","547.54","541.93","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","3.0","0.5","0.0","0.0","0.58","0.5","0.29","0.17","0.17","0.0","0.0","22.56","28.05","569.98","284.99","547.42","541.93","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","3.0","0.5","0.0","0.0","0.8","0.5","0.4","0.0","0.0","0.0","0.0","22.95","28.05","569.98","284.99","547.02","541.93","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","3.0","0.49","0.0","0.0","1.03","0.49","0.5","0.0","0.0","0.0","0.0","23.46","28.05","569.98","284.99","546.52","541.93","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","3.0","0.49","0.0","0.0","0.69","0.49","0.33","0.0","0.0","0.0","0.0","23.79","28.05","569.98","284.99","546.18","541.93","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","3.0","0.48","0.0","0.0","0.99","0.48","0.47","0.0","0.0","0.0","0.0","24.27","28.05","569.98","284.99","545.71","541.93","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","3.0","0.47","0.0","0.0","0.91","0.47","0.43","0.0","0.0","0.0","0.0","24.7","28.05","569.98","284.99","545.28","541.93","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","3.0","0.47","0.0","0.0","1.02","0.47","0.47","0.0","0.0","0.0","0.0","25.17","28.05","569.98","284.99","544.8","541.93","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","3.0","0.46","0.0","0.0","1.21","0.46","0.55","0.0","0.0","0.0","0.0","25.73","28.05","569.98","284.99","544.25","541.93","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","3.0","0.45","0.0","0.0","1.16","0.45","0.52","0.0","0.0","0.0","0.0","26.25","28.05","569.98","284.99","543.73","541.93","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","3.0","0.44","0.0","0.0","1.45","0.44","0.64","0.0","0.0","0.0","0.0","26.89","28.05","569.98","284.99","543.08","541.93","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","3.0","0.44","0.0","0.0","1.38","0.44","0.6","0.0","0.0","0.0","0.0","27.49","28.05","569.98","284.99","542.48","541.93","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","3.0","0.43","0.0","0.0","1.73","0.43","0.74","0.0","0.0","0.0","0.0","28.23","28.05","569.98","284.99","541.75","541.93","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","3.0","0.41","0.0","0.0","3.06","0.41","1.26","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","3.0","0.41","0.0","0.0","1.51","0.41","0.61","0.0","0.0","0.0","0.0","28.66","28.05","569.98","284.99","541.31","541.93","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","3.0","0.4","0.0","0.0","1.52","0.4","0.61","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","3.0","0.39","0.0","0.0","1.6","0.39","0.63","0.0","0.0","0.0","0.0","28.68","28.05","569.98","284.99","541.3","541.93","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","3.0","0.39","0.0","0.0","1.34","0.39","0.52","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","3.0","0.38","0.0","0.0","1.02","0.38","0.39","0.0","0.0","0.0","0.0","28.44","28.05","569.98","284.99","541.53","541.93","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","3.0","1.13","0.0","0.0","2.15","1.13","2.44","6.0","6.0","0.0","0.0","22.44","28.05","569.98","284.99","547.53","541.93","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","3.0","1.16","0.0","0.0","1.45","1.16","1.68","12.31","12.31","0.0","0.0","11.82","28.05","569.98","284.99","558.16","541.93","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","3.0","1.16","0.0","0.0","1.48","1.16","1.72","13.84","13.53","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","","","",""
