" Daily soil water balance output for Walnuts in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Other Deciduous in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","2.0","0.83","0.0","0.0","1.92","0.83","1.59","0.0","0.0","0.0","0.0","23.19","21.6","438.91","219.46","415.73","417.31","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","2.0","0.76","0.0","0.0","1.96","0.76","1.5","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","2.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","22.94","21.6","438.91","219.46","415.97","417.31","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","2.0","0.67","0.0","0.0","1.84","0.67","1.24","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","2.0","0.64","0.0","0.0","1.97","0.64","1.26","0.0","0.0","0.0","0.0","22.86","21.6","438.91","219.46","416.05","417.31","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","2.0","0.61","0.0","0.0","1.56","0.61","0.96","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","2.0","0.59","0.0","0.0","1.44","0.59","0.86","0.0","0.0","0.0","0.0","22.46","21.6","438.91","219.46","416.46","417.31","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","2.0","1.18","0.0","0.0","0.99","1.18","1.17","2.97","2.97","0.0","0.0","19.49","21.6","438.91","219.46","419.43","417.31","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","2.0","1.17","0.0","0.0","1.32","1.17","1.54","1.54","1.54","0.0","0.0","19.49","21.6","438.91","219.46","419.43","417.31","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","2.0","1.17","0.0","0.0","1.29","1.17","1.51","0.0","0.0","0.0","0.0","20.99","21.6","438.91","219.46","417.92","417.31","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","2.0","1.16","0.0","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","23.34","21.6","438.91","219.46","415.57","417.31","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","2.0","1.1","0.0","0.0","1.86","1.1","2.04","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","2.0","1.0","0.0","0.0","1.39","1.0","1.38","0.0","0.0","0.0","0.0","22.98","21.6","438.91","219.46","415.93","417.31","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","2.0","0.94","0.0","0.0","0.96","0.94","0.9","0.11","0.11","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","2.0","1.2","0.0","0.0","0.62","1.2","0.74","3.18","3.18","0.0","0.0","19.16","21.6","438.91","219.46","419.75","417.31","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","2.0","1.19","0.0","0.0","0.8","1.19","0.95","4.75","4.75","0.0","0.0","15.36","21.6","438.91","219.46","423.55","417.31","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","2.0","1.18","0.0","0.0","1.2","1.18","1.42","0.13","0.13","0.0","0.0","16.65","21.6","438.91","219.46","422.26","417.31","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","2.0","1.16","0.0","0.0","1.49","1.16","1.73","2.18","2.18","0.0","0.0","16.2","21.6","438.91","219.46","422.72","417.31","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","2.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","17.79","21.6","438.91","219.46","421.12","417.31","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","2.0","1.17","0.0","0.0","1.21","1.17","1.41","0.0","0.0","0.0","0.0","19.2","21.6","438.91","219.46","419.71","417.31","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","2.0","1.17","0.0","0.0","1.17","1.17","1.37","0.0","0.0","0.0","0.0","20.57","21.6","438.91","219.46","418.35","417.31","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","2.0","1.11","0.0","0.0","1.16","1.11","1.29","0.0","0.0","0.0","0.0","21.85","21.6","438.91","219.46","417.06","417.31","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","2.0","1.03","0.0","0.0","1.1","1.03","1.13","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","2.0","1.19","0.0","0.0","0.85","1.19","1.01","2.34","2.34","0.0","0.0","20.27","21.6","438.91","219.46","418.64","417.31","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","2.0","1.19","0.0","0.0","0.66","1.19","0.79","4.36","4.36","0.0","0.0","16.7","21.6","438.91","219.46","422.22","417.31","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","2.0","1.18","0.0","0.0","1.0","1.18","1.18","4.73","4.73","0.0","0.0","13.15","21.6","438.91","219.46","425.77","417.31","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","2.0","1.19","0.0","0.0","0.66","1.19","0.79","1.16","1.16","0.0","0.0","12.77","21.6","438.91","219.46","426.14","417.31","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","2.0","1.18","0.0","0.0","1.08","1.18","1.27","42.69","14.04","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","2.0","1.18","0.0","0.0","1.07","1.18","1.26","18.3","1.26","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","2.0","1.18","0.0","0.0","0.91","1.18","1.07","0.5","0.5","0.0","0.0","0.57","21.6","438.91","219.46","438.34","417.31","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","2.0","1.18","0.0","0.0","1.07","1.18","1.26","2.74","1.83","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","2.0","1.18","0.0","0.0","0.76","1.18","0.9","0.57","0.57","0.0","0.0","0.33","21.6","438.91","219.46","438.58","417.31","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","2.0","1.18","0.0","0.0","0.8","1.18","0.95","0.0","0.0","0.0","0.0","1.28","21.6","438.91","219.46","437.63","417.31","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","2.0","1.19","0.0","0.0","0.66","1.19","0.78","0.0","0.0","0.0","0.0","2.06","21.6","438.91","219.46","436.85","417.31","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","2.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.14","21.6","438.91","219.46","435.77","417.31","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","2.0","1.18","0.0","0.0","1.15","1.18","1.36","0.21","0.21","0.0","0.0","4.29","21.6","438.91","219.46","434.62","417.31","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","2.0","1.2","0.0","0.0","0.6","1.2","0.72","72.49","5.01","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","2.0","1.19","0.0","0.0","0.69","1.19","0.82","1.59","0.82","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","2.0","1.19","0.0","0.0","0.71","1.19","0.85","0.0","0.0","0.0","0.0","0.85","21.6","438.91","219.46","438.07","417.31","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","2.0","1.18","0.0","0.0","0.89","1.18","1.05","6.89","1.9","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","2.0","1.17","0.0","0.0","1.18","1.17","1.38","9.15","1.38","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","2.0","1.18","0.0","0.0","0.96","1.18","1.13","11.33","1.13","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","2.0","1.18","0.0","0.0","0.91","1.18","1.08","3.87","1.08","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","2.0","1.19","0.0","0.0","0.81","1.19","0.96","0.01","0.01","0.0","0.0","0.95","21.6","438.91","219.46","437.96","417.31","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","2.0","1.19","0.0","0.0","0.64","1.19","0.76","14.79","1.71","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","2.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","1.15","21.6","438.91","219.46","437.76","417.31","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","2.0","1.19","0.0","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.09","21.6","438.91","219.46","436.82","417.31","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","2.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.95","21.6","438.91","219.46","435.97","417.31","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","2.0","1.19","0.0","0.0","0.99","1.19","1.18","0.0","0.0","0.0","0.0","4.12","21.6","438.91","219.46","434.79","417.31","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","2.0","1.15","0.0","0.0","1.88","1.15","2.17","0.78","0.78","0.0","0.0","5.51","21.6","438.91","219.46","433.4","417.31","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","2.0","1.0","0.0","0.0","1.89","1.0","1.9","0.0","0.0","0.0","0.0","7.41","21.6","438.91","219.46","431.5","417.31","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","2.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","8.14","21.6","438.91","219.46","430.77","417.31","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","2.0","0.92","0.0","0.0","0.74","0.92","0.68","0.0","0.0","0.0","0.0","8.82","21.6","438.91","219.46","430.09","417.31","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","2.0","0.9","0.0","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","9.32","21.6","438.91","219.46","429.59","417.31","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","2.0","0.8","0.0","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","11.31","21.6","438.91","219.46","427.6","417.31","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","2.0","0.72","0.0","0.0","2.68","0.72","1.94","0.0","0.0","0.0","0.0","13.25","21.6","438.91","219.46","425.66","417.31","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","2.0","0.7","0.0","0.0","0.88","0.7","0.62","0.0","0.0","0.0","0.0","13.87","21.6","438.91","219.46","425.04","417.31","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","2.0","0.69","0.0","0.0","0.86","0.69","0.59","0.0","0.0","0.0","0.0","14.46","21.6","438.91","219.46","424.45","417.31","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","2.0","0.67","0.0","0.0","0.85","0.67","0.57","0.0","0.0","0.0","0.0","15.03","21.6","438.91","219.46","423.88","417.31","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","2.0","0.65","0.0","0.0","0.96","0.65","0.63","0.0","0.0","0.0","0.0","15.65","21.6","438.91","219.46","423.26","417.31","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","2.0","0.64","0.0","0.0","0.87","0.64","0.55","0.0","0.0","0.0","0.0","16.21","21.6","438.91","219.46","422.7","417.31","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","2.0","0.62","0.0","0.0","1.17","0.62","0.72","0.0","0.0","0.0","0.0","16.93","21.6","438.91","219.46","421.98","417.31","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","2.0","0.6","0.0","0.0","1.17","0.6","0.7","0.0","0.0","0.0","0.0","17.64","21.6","438.91","219.46","421.27","417.31","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","2.0","0.59","0.0","0.0","1.0","0.59","0.59","0.0","0.0","0.0","0.0","18.23","21.6","438.91","219.46","420.68","417.31","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","2.0","0.58","0.0","0.0","0.87","0.58","0.5","0.0","0.0","0.0","0.0","18.73","21.6","438.91","219.46","420.18","417.31","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","2.0","0.57","0.0","0.0","0.96","0.57","0.54","0.0","0.0","0.0","0.0","19.27","21.6","438.91","219.46","419.64","417.31","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","2.0","0.56","0.0","0.0","0.88","0.56","0.49","0.0","0.0","0.0","0.0","19.77","21.6","438.91","219.46","419.15","417.31","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","2.0","0.55","0.0","0.0","1.05","0.55","0.57","0.0","0.0","0.0","0.0","20.34","21.6","438.91","219.46","418.57","417.31","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","2.0","0.53","0.0","0.0","1.18","0.53","0.63","0.0","0.0","0.0","0.0","20.97","21.6","438.91","219.46","417.94","417.31","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","2.0","0.53","0.0","0.0","0.69","0.53","0.36","0.0","0.0","0.0","0.0","21.33","21.6","438.91","219.46","417.58","417.31","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","2.0","0.52","0.0","0.0","0.69","0.52","0.36","0.0","0.0","0.0","0.0","21.69","21.6","438.91","219.46","417.22","417.31","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","2.0","0.52","0.0","0.0","0.57","0.52","0.29","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","2.0","0.51","0.0","0.0","0.56","0.51","0.29","0.01","0.01","0.0","0.0","21.88","21.6","438.91","219.46","417.03","417.31","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","2.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","2.0","0.5","0.0","0.0","0.7","0.5","0.35","0.0","0.0","0.0","0.0","21.95","21.6","438.91","219.46","416.96","417.31","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","2.0","0.5","0.0","0.0","0.79","0.5","0.39","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","2.0","0.49","0.0","0.0","0.98","0.49","0.48","0.0","0.0","0.0","0.0","22.08","21.6","438.91","219.46","416.83","417.31","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","2.0","0.48","0.0","0.0","0.73","0.48","0.35","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","2.0","0.48","0.0","0.0","0.98","0.48","0.47","0.0","0.0","0.0","0.0","22.07","21.6","438.91","219.46","416.84","417.31","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","2.0","0.47","0.0","0.0","0.94","0.47","0.44","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","2.0","0.46","0.0","0.0","1.02","0.46","0.47","0.0","0.0","0.0","0.0","22.07","21.6","438.91","219.46","416.84","417.31","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","2.0","0.46","0.0","0.0","1.28","0.46","0.58","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","2.0","0.45","0.0","0.0","1.12","0.45","0.5","0.0","0.0","0.0","0.0","22.1","21.6","438.91","219.46","416.81","417.31","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","2.0","0.44","0.0","0.0","1.53","0.44","0.67","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","2.0","0.43","0.0","0.0","1.43","0.43","0.62","0.0","0.0","0.0","0.0","22.22","21.6","438.91","219.46","416.69","417.31","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","2.0","0.42","0.0","0.0","1.93","0.42","0.82","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","2.0","0.41","0.0","0.0","3.46","0.41","1.41","0.0","0.0","0.0","0.0","23.01","21.6","438.91","219.46","415.9","417.31","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","2.0","0.4","0.0","0.0","1.44","0.4","0.58","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","2.0","0.4","0.0","0.0","1.46","0.4","0.58","0.0","0.0","0.0","0.0","22.18","21.6","438.91","219.46","416.73","417.31","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","2.0","0.39","0.0","0.0","1.52","0.39","0.59","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","2.0","0.38","0.0","0.0","1.4","0.38","0.54","0.0","0.0","0.0","0.0","22.14","21.6","438.91","219.46","416.77","417.31","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","2.0","0.38","0.0","0.0","1.08","0.38","0.41","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","2.0","0.37","0.0","0.0","2.04","0.37","0.76","0.04","0.04","0.0","0.0","22.32","21.6","438.91","219.46","416.59","417.31","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","2.0","1.16","0.0","0.0","1.42","1.16","1.65","27.21","23.97","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","2.0","1.17","0.0","0.0","1.3","1.17","1.52","4.76","1.52","0.0","0.0","0.0","21.6","438.91","219.46","438.91","417.31","0.0","","","","","","","","",""
